class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,b,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,s,g,4,2,1,5,2,5,4,1,1,4,2,5,5,2,4,3,4,4,5,4,2,3,5,5,1,1,3,5,2,2,1,3,1,1,1,5,4,4,1,2,2,2,5,3,5,5,2,2,4,3,1,5,1,4,5,1,1,3,1,5,3,3,5,1,5,4,3,2,5,1,1,5,3,1,2,2,4,1,1,1
e,x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,2,1,5,1,2,1,1,4,2,2,5,1,3,1,2,3,1,5,5,5,4,5,5,1,1,1,1,4,1,2,4,3,5,5,5,2,5,4,1,2,2,4,5,3,4,4,2,5,2,1,5,2,4,4,3,5,3,2,5,4,2,1,3,5,5,4,3,3,1,2,3,4,1,5,1,2,2,3,1,3
e,f,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,5,4,2,3,3,4,4,3,3,1,1,1,2,2,4,3,4,5,4,1,5,1,5,3,1,2,4,1,1,2,1,5,3,1,4,5,4,1,1,1,1,3,1,4,2,2,3,4,4,1,2,2,4,3,1,1,3,5,2,2,3,1,5,5,1,4,1,5,3,4,4,2,5,5,1,2,1,3,2,2
p,x,s,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,3,5,5,1,4,4,3,1,1,4,3,4,2,3,5,4,4,4,5,1,2,2,3,5,5,3,3,2,1,4,2,5,2,2,2,4,2,2,3,5,1,4,1,4,3,4,3,5,3,4,3,3,4,2,2,2,3,3,2,2,2,2,1,1,4,1,4,4,2,1,1,4,5,4,5,4,5,3,4,2
e,x,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,3,1,4,5,4,1,2,1,2,1,1,1,5,1,2,4,3,2,4,5,1,1,1,5,4,2,2,1,5,2,1,4,5,5,1,5,3,1,4,2,4,1,4,1,5,3,4,5,2,3,3,1,1,4,4,4,2,3,2,3,1,1,2,3,5,4,1,3,4,1,4,2,5,4,1,3,3,1,2,3
e,x,f,w,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g,1,5,1,2,5,3,3,2,5,1,4,2,1,5,5,5,1,3,1,5,1,2,1,5,2,4,4,1,4,4,1,2,3,2,4,3,3,4,5,1,1,5,1,3,2,1,2,1,4,5,2,5,5,2,4,2,4,1,3,3,1,4,3,3,5,3,2,2,1,4,1,1,5,5,2,4,5,3,2,1
e,x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,2,2,5,2,4,4,3,3,3,3,5,5,4,4,5,3,3,1,4,4,5,5,4,1,4,5,4,1,5,1,2,3,3,2,3,2,4,5,4,2,2,3,1,1,2,3,2,5,5,2,3,1,3,1,1,2,1,5,2,1,3,5,2,3,3,5,1,5,2,1,4,5,3,1,1,3,5,1,1,2
p,f,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,1,4,2,1,1,5,4,1,3,1,4,3,5,3,3,1,3,4,4,2,2,4,3,1,1,4,3,2,3,1,1,4,4,2,5,2,1,1,3,2,2,2,2,1,1,2,3,5,3,5,2,2,2,2,2,1,2,1,3,2,3,1,5,4,3,5,4,4,3,1,1,3,5,2,1,2,5,2,1,3
p,f,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g,5,5,5,5,3,3,2,4,2,5,1,3,3,2,3,1,5,4,5,4,2,2,3,5,5,2,2,3,1,5,3,5,4,3,2,4,1,3,5,5,4,1,3,3,2,5,1,4,2,1,5,4,4,4,4,3,2,2,2,1,2,5,5,1,3,5,3,1,2,1,3,3,3,2,3,2,5,1,1,4
