animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,Fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,Mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Invertebrate
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,Invertebrate
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,Bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,Bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,Mammal
