class,cap-shape,veil-type,veil-color,ring-type,spore-print-color,population,habitat
0,0,0,0,0,0,0,0
p,x,p,w,p,k,s,u
e,x,p,w,p,n,n,g
e,b,p,w,p,n,n,m
p,x,p,w,p,k,s,u
e,x,p,w,e,n,a,g
e,x,p,w,p,k,n,g
e,b,p,w,p,k,n,m
e,b,p,w,p,n,s,m
p,x,p,w,p,k,v,g
e,b,p,w,p,k,s,m
e,x,p,w,p,n,n,g
e,x,p,w,p,k,s,m
e,b,p,w,p,n,s,g
p,x,p,w,p,n,v,u
e,x,p,w,e,k,a,g
e,s,p,w,p,n,y,u
e,f,p,w,e,n,a,g
p,x,p,w,p,k,s,g
p,x,p,w,p,n,s,u
p,x,p,w,p,n,s,u
e,b,p,w,p,n,s,m
p,x,p,w,p,n,v,g
e,b,p,w,p,n,s,m
e,b,p,w,p,n,n,m
e,b,p,w,p,k,s,m
p,f,p,w,p,n,v,g
e,x,p,w,p,n,n,m
e,x,p,w,p,n,n,m
e,f,p,w,p,k,y,u
e,x,p,w,p,n,v,d
e,b,p,w,p,n,n,m
p,x,p,w,p,n,s,u
e,x,p,w,p,n,n,m
e,x,p,w,p,n,y,p
e,b,p,w,p,n,s,m
e,x,p,w,p,n,v,d
e,s,p,w,p,k,v,u
p,x,p,w,p,n,s,u
e,x,p,w,p,n,v,d
e,b,p,w,p,k,s,m
e,b,p,w,p,n,s,g
e,x,p,w,p,k,y,p
e,x,p,w,p,k,y,u
p,x,p,w,p,n,v,g
e,x,p,w,p,k,n,m
e,x,p,w,p,n,n,g
e,x,p,w,p,k,s,m
e,x,p,w,p,n,n,m
e,x,p,w,p,n,s,p
e,f,p,w,p,k,s,p
e,x,p,w,p,k,s,g
e,x,p,w,p,k,s,g
e,b,p,w,p,n,n,m
p,x,p,w,p,n,v,u
p,x,p,w,p,k,v,u
e,b,p,w,p,k,s,m
e,f,p,w,e,n,a,g
e,b,p,w,p,n,n,g
e,x,p,w,p,k,n,g
e,x,p,w,p,k,y,p
e,s,p,w,p,n,v,u
e,b,p,w,p,n,s,m
e,b,p,w,p,n,s,m
e,b,p,w,p,n,n,m
e,b,p,w,p,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,s,g
e,f,p,w,p,n,s,g
e,x,p,w,p,k,n,g
e,x,p,w,p,n,v,u
e,f,p,w,p,n,v,d
e,b,p,w,p,n,s,m
e,f,p,w,p,n,v,d
e,x,p,w,p,k,s,p
e,b,p,w,p,k,s,g
e,f,p,w,p,n,v,d
e,x,p,w,p,u,v,d
e,f,p,w,p,n,y,p
