Id,StatesTotal,StatesCreated,QueriesTotal,CorrectClassifications
100,64,0,1,3779
200,89,0,0,4832
300,89,0,1,4736
400,92,0,1,4720
500,92,0,0,4665
600,92,0,1,4717
700,93,0,0,4688
800,93,0,0,4687
900,94,0,0,4652
1000,94,0,1,4693
1100,94,0,1,4691
1200,94,0,0,4664
1300,94,0,0,4683
1400,94,0,1,4689
1500,94,0,0,4725
1600,94,0,0,4697
1700,94,0,0,4691
1800,94,0,0,4707
1900,97,0,0,4691
2000,97,0,0,4713
2100,97,0,0,4696
2200,99,0,0,4668
2300,102,0,0,4867
2400,103,0,0,4844
2500,109,1,2,3642
2600,131,0,0,6873
2700,131,0,0,6885
2800,131,0,0,6888
2900,131,0,0,6884
3000,131,0,0,6877
3100,132,0,0,6892
3200,132,0,1,6880
3300,132,0,0,6885
3400,132,0,1,6900
3500,132,0,0,6891
3600,132,0,1,6916
3700,132,0,1,6901
3800,132,0,0,6900
3900,132,0,0,6922
4000,140,0,1,6939
4100,146,0,1,6953
4200,166,0,0,2685
4300,171,0,0,3890
4400,179,0,1,7970
4500,180,0,1,7979
4600,209,0,0,4305
4700,234,0,0,3901
4800,236,0,0,6279
4900,243,0,0,7895
5000,243,0,1,7884
5100,243,0,1,7885
5200,244,0,1,7894
5300,244,0,0,7881
5400,244,0,1,7882
5500,244,0,1,7903
5600,244,0,0,7906
5700,244,0,1,7893
5800,244,0,1,7894
5900,244,0,1,7910
6000,244,0,1,7904
6100,248,0,1,5937
6200,248,0,1,5982
6300,248,0,1,5928
6400,270,0,1,5934
6500,271,0,1,7908
6600,273,1,2,5103
6700,277,0,1,7915
6800,282,0,1,7915
6900,287,0,0,5965
7000,307,1,2,7947
7100,323,0,0,7994
7200,328,0,0,7991
7300,331,1,2,5948
7400,345,0,0,5067
7500,356,1,2,5857
7600,368,0,0,4122
7700,370,0,0,7986
7800,370,0,0,7982
7900,370,0,0,7995
8000,370,0,0,7983
8100,370,0,0,7978
8200,370,0,1,7982
8300,370,0,1,7992
8400,370,0,0,7989
8500,370,0,0,7985
8600,370,0,1,7981
8700,370,0,1,7984
8800,370,0,0,7979
8900,370,0,1,7979
9000,370,0,1,7981
9100,370,0,1,7977
9200,370,0,1,7986
9300,370,0,1,7983
9400,370,0,0,7988
9500,370,0,1,7989
9600,370,0,0,7985
9700,370,0,0,7987
9800,370,0,0,7982
9900,370,0,0,7984
10000,370,0,0,7988
10100,370,0,0,7988
10200,370,0,0,7980
10300,370,0,0,7980
10400,370,0,0,7977
10500,370,0,0,7986
10600,370,0,0,7980
10700,370,0,0,7991
10800,370,0,0,7989
10900,370,0,0,7991
11000,370,0,0,7983
11100,370,0,0,7984
11200,370,0,0,7985
11300,370,0,1,7988
11400,370,0,0,7983
11500,370,0,1,7986
11600,370,0,0,7985
11700,370,0,1,7978
11800,370,0,1,7984
11900,370,0,0,7986
12000,370,0,0,7974
12100,370,0,1,7984
12200,370,0,1,7978
12300,370,0,1,7971
12400,370,0,1,7975
12500,370,0,1,7974
12600,370,0,1,7984
12700,370,0,1,7978
12800,370,0,1,7992
12900,370,0,0,7972
13000,370,0,0,7978
13100,370,0,1,7988
13200,370,0,1,7983
13300,370,0,1,7982
13400,370,0,0,7989
13500,370,0,1,7983
13600,370,0,1,7980
13700,370,0,0,7991
13800,370,0,1,7981
13900,370,0,1,7987
14000,370,0,1,7983
14100,370,0,1,7994
14200,370,0,0,7979
14300,370,0,0,7989
14400,370,0,0,7988
14500,370,0,0,7987
14600,370,0,0,7983
14700,370,0,0,7981
14800,370,0,0,7986
14900,370,0,0,7986
15000,370,0,0,7985
15100,370,0,0,7984
15200,370,0,0,7985
15300,370,0,0,7978
15400,370,0,0,7978
15500,370,0,0,7988
15600,370,0,0,7982
15700,370,0,0,7976
15800,370,0,0,7988
15900,370,0,0,7976
16000,370,0,0,7988
16100,370,0,0,7984
16200,370,0,0,7988
16300,370,0,1,7975
16400,370,0,1,7986
16500,370,0,0,7990
16600,370,0,0,7977
16700,370,0,1,7981
16800,370,0,0,7991
16900,370,0,0,7976
17000,370,0,1,7980
17100,370,0,1,7987
17200,370,0,0,7989
17300,370,0,0,7978
17400,370,0,1,7986
17500,370,0,0,7976
17600,370,0,1,7990
17700,370,0,0,7986
17800,370,0,0,7984
17900,370,0,0,7983
18000,370,0,0,7980
18100,370,0,0,7984
18200,370,0,0,7985
18300,370,0,0,7977
18400,370,0,0,7986
18500,370,0,0,7978
18600,370,0,0,7984
18700,370,0,0,7994
18800,370,0,0,7981
18900,370,0,0,7984
19000,370,0,0,7982
19100,370,0,0,7991
19200,370,0,0,7995
19300,370,0,0,7983
19400,370,0,1,7982
19500,370,0,0,7987
19600,370,0,1,7986
19700,370,0,0,7987
19800,370,0,1,7989
19900,370,0,1,7981
20000,370,0,0,7986
20100,370,0,0,7981
20200,370,0,1,7988
20300,370,0,1,7983
20400,370,0,1,7984
20500,370,0,1,7978
20600,370,0,1,7980
20700,370,0,1,7979
20800,370,0,1,7984
20900,370,0,1,7978
21000,370,0,0,7982
21100,370,0,0,7977
21200,370,0,1,7975
21300,370,0,1,7986
21400,370,0,1,7987
21500,370,0,0,7987
21600,370,0,1,7983
21700,370,0,1,7982
21800,370,0,0,7978
21900,370,0,1,7990
22000,370,0,1,7984
22100,370,0,1,7979
22200,370,0,1,7978
22300,370,0,1,7980
22400,370,0,1,7983
22500,370,0,1,7979
22600,370,0,1,7986
22700,370,0,1,7989
22800,370,0,0,7980
22900,370,0,1,7977
23000,370,0,1,7981
23100,370,0,1,7985
23200,370,0,0,7983
23300,370,0,1,7991
23400,370,0,1,7985
23500,370,0,0,7984
23600,370,0,1,7986
23700,370,0,0,7989
23800,370,0,1,7988
23900,370,0,0,7976
24000,370,0,1,7981
24100,370,0,1,7979
24200,370,0,0,7988
24300,370,0,0,7983
24400,370,0,0,7985
24500,370,0,0,7981
24600,370,0,1,7989
24700,370,0,1,7980
24800,370,0,0,7990
24900,370,0,1,7988
25000,370,0,0,7977
25100,370,0,0,7981
25200,370,0,0,7984
25300,370,0,1,7983
25400,370,0,1,7987
25500,370,0,0,7982
25600,370,0,0,7982
25700,370,0,1,7976
25800,370,0,0,7981
25900,370,0,0,7988
26000,370,0,0,7985
26100,370,0,0,7991
26200,370,0,0,7984
26300,370,0,0,7983
26400,370,0,0,7987
26500,370,0,0,7987
26600,370,0,0,7986
26700,370,0,0,7983
26800,370,0,0,7979
26900,370,0,0,7997
27000,370,0,0,7985
27100,370,0,0,7983
27200,370,0,0,7987
27300,370,0,0,7983
27400,370,0,0,7986
27500,370,0,1,7986
27600,370,0,0,7985
